"chapter","constraint","value","text"
8,"chapitre",8,"Winckler,1"
8,"1A_position","assis"," "
8,"1a_activite","classer ranger"," "
8,"1B_citation_1","Flaubert"," "
8,"1b_citation_2","Lowry"," "
8,"2A_nombre_personnes","1."," "
8,"2a_role","occupant"," "
8,"2B_3e_secteur","prospectus pharmacie"," "
8,"2b_ressort_","recevoir une lettre"," "
8,"3A_murs","tissu jute ou autre"," "
8,"3a_sols","parquet a batons rompus"," "
8,"3B_epoque","18eme"," "
8,"3b_lieu","Extreme-Orient"," "
8,"4A_style","Louis XV-XVI"," "
8,"4a_meubles","bahut, armoire, maie …"," "
8,"4B_longueur","+ 12 pages"," "
8,"4b_divers","flamme"," "
8,"5A_age_et_sexe","jeune femme 18-35"," "
8,"5a_animaux","mouche"," "
8,"5B_vetement","veste d'interieur"," "
8,"5b_tissus_nature","a pois"," "
8,"6A_tissus_matiere","coton"," "
8,"6a_couleurs","rouge"," "
8,"6B_accessoires","calecons, sous-vetements"," "
8,"6b_bijoux","bague"," "
8,"7A_lectures","revue"," "
8,"7a_musiques","pop et folk"," "
8,"7B_tableaux","Le Banquier et sa femme Metsys"," "
8,"7b_livre","Ubu Alfred Jarry"," "
8,"8A_boissons","coca etc…"," "
8,"8a_nourriture","gateaux, sucreries"," "
8,"8B_petit_meuble","radio, hifi, etc…"," "
8,"8b_jeux","jaquet"," "
8,"9A_sentiments","amour"," "
8,"9a_peintures","cartes postales"," "
8,"9B_surface","ovale"," "
8,"9b_volume","cube"," "
8,"0A_vegetal","fleurs"," "
8,"0a_bibelots","pierre semi-precieuses"," "
8,"0B_manque",2," "
8,"0b_faux",8," "
8,"1C_couple_1","Racine"," "
8,"1c_couple_2","paturage"," "
8,"coordonnees",38,"il avait ouvert son bahut et en avait sorti trois petits verres et un carafon de cognac 1938."
8,"compendium",6,"Le faiseur de puzzles s'acharnant dans ses parties de jacquet"
8,"compendium",59,"La jeune Japonaise tenant a bout de bras la torche olympique"
8,"compendium",104,"La petite parfumeuse choisissant les bagues du vieil artisan"
8,"compendium",120,"Monsieur Riri somnolant apres-dejeuner derriere son comptoir"
8,"compendium",159,"Le fabricant d'articles de piete mourant de froid en Argonne"
8,"compendium",164,"Les touristes s'efforcant en vain de refaire la bague turque"
8,"compendium",177,"Gedeon Spilett retrouvant dans sa poche une ultime allumette"
8,"histoires",45,"du faiseur de puzzle {Gaspard Winckler}"
8,"chronologie",1910,"naissance de Gaspard Winckler a La Ferte-Milon"
8,"chronologie",1922,"Gaspard Winckler entre en apprentissage chez M. Gouttman."
8,"chronologie",1929,"mort de Gouttman."
8,"chronologie",1965,"Winckler commence a fabriquer des miroirs de sorciere."
8,"lieux",8,"Maintenant nous somme dans la piece que Gaspard Winckler appelait le salon"
8,"personnes",8,"Maintenant dans le petit salon, il reste ce qui reste quand il ne reste rien : des mouches par exemple"
8,"action",8," "
